2026-01-29 18:53:53,243 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,244 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "[36mGET / HTTP/1.1[0m" 304 -
2026-01-29 18:53:53,294 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,296 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "[36mGET /styles.css HTTP/1.1[0m" 304 -
2026-01-29 18:53:53,304 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /app.js ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,306 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "GET /app.js HTTP/1.1" 200 -
2026-01-29 18:53:53,466 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,466 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai/status ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,468 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "GET /api/me HTTP/1.1" 200 -
2026-01-29 18:53:53,481 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
